Study ID,,author,,data source,diag_defn,diag,bronchod,sample_size,case,risk factor,risk_fac,reference group,effect estimate,uni_odds_ratio,uni_lower_ci,uni_upper_ci,Self-calculated,multi_odds_ratio,multi_lower_ci,multi_upper_ci,Variables adjusted for,case with exposure,case without exposure,control with exposure,control without exposure
255,Domingo-Relloso 2022,Domingo-Relloso et. al. (2022),https://dx.doi.org/10.1186/s13148-022-01294-8,Strong Heart Study cohort,gold,rsp,no,1677,229,smoking,current,non,OR,0.84,0.6,1.18,yes,,,,,80,85,395,351
255,Domingo-Relloso 2022,Domingo-Relloso et. al. (2022),https://dx.doi.org/10.1186/s13148-022-01294-8,Strong Heart Study cohort,gold,rsp,no,1677,229,smoking,ex,non,OR,0.76,0.53,1.08,yes,,,,,64,85,351,351
284,Eriksson 2013,Eriksson et. al. (2013),https://dx.doi.org/10.1016/j.rmed.2012.09.011,original - as part of Obstructive Lung comorbidity in Northern Sweden (OLIN) studies,gold,rsp,no,642,18,comorbidity,heart_failure,no hf,OR,7.78,0.82,73.36,yes,,,,,1,17,4,529
284,Eriksson 2013,Eriksson et. al. (2013),https://dx.doi.org/10.1016/j.rmed.2012.09.011,original - as part of Obstructive Lung comorbidity in Northern Sweden (OLIN) studies,gold,rsp,no,642,18,comorbidity,hypertension,no hypertension,OR,2.6,0.95,7.11,yes,,,,,6,12,86,447
284,Eriksson 2013,Eriksson et. al. (2013),https://dx.doi.org/10.1016/j.rmed.2012.09.011,original - as part of Obstructive Lung comorbidity in Northern Sweden (OLIN) studies,gold,rsp,no,642,18,gender,female,male,OR,0.87,0.35,2.17,yes,,,,,9,10,270,260
284,Eriksson 2013,Eriksson et. al. (2013),https://dx.doi.org/10.1016/j.rmed.2012.09.011,original - as part of Obstructive Lung comorbidity in Northern Sweden (OLIN) studies,gold,rsp,no,642,18,gender,male,female,OR,1.15,0.46,2.89,yes,1.31,0.42,4.12,"sex, age, smoking habits, family history of obstructive airway comorbidity (i.e., chronic bronchitis, emphysema, or asthma among parents or siblings), socio-economic status, and BMI",10,9,260,270
284,Eriksson 2013,Eriksson et. al. (2013),https://dx.doi.org/10.1016/j.rmed.2012.09.011,original - as part of Obstructive Lung comorbidity in Northern Sweden (OLIN) studies,gold,rsp,no,642,18,smoking,current,non,OR,1.42,0.49,4.08,yes,1.94,0.63,5.96,"sex, age, smoking habits, family history of obstructive airway comorbidity (i.e., chronic bronchitis, emphysema, or asthma among parents or siblings), socio-economic status, and BMI",6,9,123,262
284,Eriksson 2013,Eriksson et. al. (2013),https://dx.doi.org/10.1016/j.rmed.2012.09.011,original - as part of Obstructive Lung comorbidity in Northern Sweden (OLIN) studies,gold,rsp,no,642,18,smoking,ex,non,OR,0.8,0.24,2.64,yes,0.62,0.14,2.22,"sex, age, smoking habits, family history of obstructive airway comorbidity (i.e., chronic bronchitis, emphysema, or asthma among parents or siblings), socio-economic status, and BMI",4,9,146,262
297,Fimognari 2007,Fimognari et. al. (2007),https://dx.doi.org/10.1093/gerona/62.7.760,original,gold,rsp,not mentioned,159,25,comorbidity,heart_failure,no HF,OR,2.33,0.72,7.55,yes,,,,,5,20,10,93
297,Fimognari 2007,Fimognari et. al. (2007),https://dx.doi.org/10.1093/gerona/62.7.760,original,gold,rsp,not mentioned,159,25,gender,female,male,OR,1.92,0.74,4.99,yes,,,,,18,7,59,44
297,Fimognari 2007,Fimognari et. al. (2007),https://dx.doi.org/10.1093/gerona/62.7.760,original,gold,rsp,not mentioned,159,25,gender,male,female,OR,0.52,0.2,1.36,yes,,,,,7,18,44,59
352,Guerra 2010,Guerra et. al. (2010),https://dx.doi.org/10.1136/thx.2009.126052,Tucson Epidemiological Study of Airway Obstructive Disease (TESAOD),gold,rsp,no,2048,249,bmi,obese,not obese <30,OR,2.16,1.43,3.27,yes,,,,,34,215,102,1403
352,Guerra 2010,Guerra et. al. (2010),https://dx.doi.org/10.1136/thx.2009.126052,Tucson Epidemiological Study of Airway Obstructive Disease (TESAOD),gold,rsp,no,2048,249,comorbidity,asthma,no asthma,OR,1.84,1.23,2.74,yes,,,,,35,214,123,1381
352,Guerra 2010,Guerra et. al. (2010),https://dx.doi.org/10.1136/thx.2009.126052,Tucson Epidemiological Study of Airway Obstructive Disease (TESAOD),gold,rsp,no,2048,249,comorbidity,diabetes,no diabetes,OR,2.51,1.43,4.41,yes,,,,,18,231,45,1460
352,Guerra 2010,Guerra et. al. (2010),https://dx.doi.org/10.1136/thx.2009.126052,Tucson Epidemiological Study of Airway Obstructive Disease (TESAOD),gold,rsp,no,2048,249,comorbidity,stroke,no stroke,OR,5.74,2.81,11.71,yes,,,,,15,234,17,1488
352,Guerra 2010,Guerra et. al. (2010),https://dx.doi.org/10.1136/thx.2009.126052,Tucson Epidemiological Study of Airway Obstructive Disease (TESAOD),gold,rsp,no,2048,249,gender,female,male,OR,1.58,1.19,2.1,yes,,,,,167,82,847,658
352,Guerra 2010,Guerra et. al. (2010),https://dx.doi.org/10.1136/thx.2009.126052,Tucson Epidemiological Study of Airway Obstructive Disease (TESAOD),gold,rsp,no,2048,249,gender,male,female,OR,0.63,0.48,0.84,yes,,,,,82,167,658,847
389,Higbee 2022,Higbee et. al. (2022),,UK Biobank 2006-2010,gold,prism,no,351874,38639,age,continuous_age,,OR,,,,,1,0.99,1.01,"age, sex, BMI, smoking status, hypertension",,,,
389,Higbee 2022,Higbee et. al. (2022),https://dx.doi.org/10.1016/S2213-2600%2821%2900369-6,UK Biobank 2006-2010,gold,prism,no,351874,38639,bmi,obese,normal 18.5-24.9,,,,,,2.4,2.26,2.55,"age, sex, BMI, smoking status, hypertension",,,,
389,Higbee 2022,Higbee et. al. (2022),https://dx.doi.org/10.1016/S2213-2600%2821%2900369-6,UK Biobank 2006-2010,gold,prism,no,351874,38639,bmi,overweight,normal 18.5-24.9,OR,,,,,1.3,1.23,1.37,"age, sex, BMI, smoking status, hypertension",,,,
389,Higbee 2022,Higbee et. al. (2022),https://dx.doi.org/10.1016/S2213-2600%2821%2900369-6,UK Biobank 2006-2010,gold,prism,no,351874,38639,comorbidity,asthma,no asthma,OR,1.37,1.29,1.45,yes,1.76,1.66,1.88,"age, sex, BMI, smoking status, hypertension",1436,37203,7078,250565
389,Higbee 2022,Higbee et. al. (2022),https://dx.doi.org/10.1016/S2213-2600%2821%2900369-6,UK Biobank 2006-2010,gold,prism,no,351874,38639,comorbidity,diabetes,no diabetes,OR,2.36,2.27,2.46,yes,,,,,3350,35289,9960,247683
389,Higbee 2022,Higbee et. al. (2022),https://dx.doi.org/10.1016/S2213-2600%2821%2900369-6,UK Biobank 2006-2010,gold,prism,no,351874,38639,comorbidity,stroke,no stroke,OR,1.91,1.77,2.08,yes,,,,,772,37867,2715,254928
389,Higbee 2022,Higbee et. al. (2022),https://dx.doi.org/10.1016/S2213-2600%2821%2900369-6,UK Biobank 2006-2010,gold,prism,no,351874,38639,gender,female,male,OR,0.99,0.97,1.01,yes,1.08,1.03,1.13,"age, sex, BMI, smoking status, hypertension",21388,17251,143289,114354
389,Higbee 2022,Higbee et. al. (2022),https://dx.doi.org/10.1016/S2213-2600%2821%2900369-6,UK Biobank 2006-2010,gold,prism,no,351874,38639,gender,male,female,OR,1.01,0.99,1.03,yes,,,,,17251,21388,114354,143289
389,Higbee 2022,Higbee et. al. (2022),https://dx.doi.org/10.1016/S2213-2600%2821%2900369-6,UK Biobank 2006-2010,gold,prism,no,351874,38639,smoking,current,never,OR,1.73,1.67,1.79,yes,1.48,1.36,1.62,"age, sex, BMI, smoking status, hypertension",4787,19777,20458,146220
389,Higbee 2022,Higbee et. al. (2022),https://dx.doi.org/10.1016/S2213-2600%2821%2900369-6,UK Biobank 2006-2010,gold,prism,no,351874,38639,smoking,ex,never,OR,1.14,1.12,1.17,yes,1,0.95,1.05,"age, sex, BMI, smoking status, hypertension",14075,19777,90965,146220
441,Kaise 2021,Kaise et. al. (2021),,original study - OCEAN (Okinawa COPD casE finding AssessmeNt),gold,prism,no,2518,420,age,50-59,40-49,OR,1.18,0.93,1.5,yes,,,,,147,189,647,981
441,Kaise 2021,Kaise et. al. (2021),,original study - OCEAN (Okinawa COPD casE finding AssessmeNt),gold,prism,no,2518,420,age,60-69,40-49,OR,1.05,0.78,1.42,yes,,,,,69,189,341,981
441,Kaise 2021,Kaise et. al. (2021),https://dx.doi.org/10.2147/COPD.S322041,original study - OCEAN (Okinawa COPD casE finding AssessmeNt),gold,prism,no,2518,420,comorbidity,asthma,no asthma,OR,1.8,1.35,2.41,yes,,,,,73,347,214,1832
441,Kaise 2021,Kaise et. al. (2021),https://dx.doi.org/10.2147/COPD.S322041,original study - OCEAN (Okinawa COPD casE finding AssessmeNt),gold,prism,no,2518,420,comorbidity,stroke,no stroke,OR,3.08,1.53,6.2,yes,,,,,13,407,21,2025
441,Kaise 2021,Kaise et. al. (2021),https://dx.doi.org/10.2147/COPD.S322041,original study - OCEAN (Okinawa COPD casE finding AssessmeNt),gold,prism,no,2518,420,gender,female,male,OR,0.45,0.36,0.57,yes,,,,,124,296,985,1061
441,Kaise 2021,Kaise et. al. (2021),https://dx.doi.org/10.2147/COPD.S322041,original study - OCEAN (Okinawa COPD casE finding AssessmeNt),gold,prism,no,2518,420,gender,male,female,OR,2.22,1.77,2.78,yes,,,,,296,124,1061,985
441,Kaise 2021,Kaise et. al. (2021),https://dx.doi.org/10.2147/COPD.S322041,original study - OCEAN (Okinawa COPD casE finding AssessmeNt),gold,prism,no,2518,420,smoking,current,never,OR,1.51,1.18,1.94,yes,,,,,133,178,467,944
441,Kaise 2021,Kaise et. al. (2021),https://dx.doi.org/10.2147/COPD.S322041,original study - OCEAN (Okinawa COPD casE finding AssessmeNt),gold,prism,no,2518,420,smoking,ex,never,OR,0.91,0.7,1.18,yes,,,,,109,178,634,944
472,Kim 2022,Kim et. al. (2022),https://dx.doi.org/10.1159/000517599,KNHANES IV-VI (2007-2015),gold,prism,no,17515,1563,bmi,obese,normal ,OR,1.3,1.15,1.48,no,1.31,1.15,1.48,"Age, sex, BMI, hypertension, diabetes, hypercholesterolemia, smoking, and alcohol-adjusted",,,,
472,Kim 2022,Kim et. al. (2022),https://dx.doi.org/10.1159/000517599,KNHANES IV-VI (2007-2015),gold,prism,no,17515,1563,comorbidity,diabetes,non,OR,1.58,1.35,1.84,no,1.51,1.29,1.78,"Age, sex, BMI, hypertension, diabetes, hypercholesterolemia, smoking, and alcohol-adjusted",,,,
472,Kim 2022,Kim et. al. (2022),https://dx.doi.org/10.1159/000517599,KNHANES IV-VI (2007-2015),gold,prism,no,17515,1563,comorbidity,hypertension,non,OR,1.3,1.15,1.48,no,1.31,1.14,1.5,"Age, sex, BMI, hypertension, diabetes, hypercholesterolemia, smoking, and alcohol-adjusted",,,,
472,Kim 2022,Kim et. al. (2022),https://dx.doi.org/10.1159/000517599,KNHANES IV-VI (2007-2015),gold,prism,no,17515,1563,comorbidity,stroke,non,OR,1.5,1.05,2.16,no,1.46,0.97,2.19,"Age, sex, BMI, hypertension, diabetes, hypercholesterolemia, smoking, and alcohol-adjusted",,,,
472,Kim 2022,Kim et. al. (2022),https://dx.doi.org/10.1159/000517599,KNHANES IV-VI (2007-2015),gold,prism,no,17515,1563,gender,female,male,OR,0.83,0.75,0.93,yes,,,,,936,627,8205,4572
472,Kim 2022,Kim et. al. (2022),https://dx.doi.org/10.1159/000517599,KNHANES IV-VI (2007-2015),gold,prism,no,17515,1563,gender,male,female,OR,1.2,1.08,1.34,yes,,,,,627,936,4572,8205
472,Kim 2022,Kim et. al. (2022),https://dx.doi.org/10.1159/000517599,KNHANES IV-VI (2007-2015),gold,prism,no,17515,1563,smoking,current,non,OR,1.64,1.42,1.9,yes,,,,,275,957,1501,8585
472,Kim 2022,Kim et. al. (2022),https://dx.doi.org/10.1159/000517599,KNHANES IV-VI (2007-2015),gold,prism,no,17515,1563,smoking,ex,non,OR,1.1,0.96,1.27,yes,,,,,301,957,2448,8585
510,Kwon 2024,Kwon et. al. (2024),https://dx.doi.org/10.1016/j.chemosphere.2024.142137,KNHANES (2010-2019),gold,rsp,no,22387,2535,gender,female,male,OR,0.58,0.53,0.63,yes,,,,,1227,1308,10565,6500
510,Kwon 2024,Kwon et. al. (2024),https://dx.doi.org/10.1016/j.chemosphere.2024.142137,KNHANES (2010-2019),gold,rsp,no,22387,2535,gender,male,female,OR,1.73,1.59,1.88,yes,,,,,1308,1227,6500,10565
510,Kwon 2024,Kwon et. al. (2024),https://dx.doi.org/10.1016/j.chemosphere.2024.142137,KNHANES (2010-2019),gold,rsp,no,22387,2535,smoking,current,non,OR,1.31,1.17,1.47,yes,,,,,458,1384,2772,10974
510,Kwon 2024,Kwon et. al. (2024),https://dx.doi.org/10.1016/j.chemosphere.2024.142137,KNHANES (2010-2019),gold,rsp,no,22387,2535,smoking,ex,non,OR,1.66,1.5,1.83,yes,,,,,693,1384,3319,10974
599,Mannino 2003,Mannino et. al. (2003a),,"NHANES I (1971-1975), follwed up till 1992 - only baseline characteristics were taken",gold,rsp,no,5542,510,age,50-59,40-49,OR,1.86,1.41,2.46,yes,,,,,150,93,606,699
599,Mannino 2003,Mannino et. al. (2003a),,"NHANES I (1971-1975), follwed up till 1992 - only baseline characteristics were taken",gold,rsp,no,5542,510,age,60-69,40-49,OR,1.74,1.29,2.35,yes,,,,,110,93,474,699
599,Mannino 2003,Mannino et. al. (2003a),https://dx.doi.org/10.1136/thorax.58.5.388,"NHANES I (1971-1975), follwed up till 1992 - only baseline characteristics were taken",gold,rsp,no,5542,510,bmi,obese,normal >18.5-24,OR,1.55,1.21,1.98,yes,,,,,117,237,482,1513
599,Mannino 2003,Mannino et. al. (2003a),https://dx.doi.org/10.1136/thorax.58.5.388,"NHANES I (1971-1975), follwed up till 1992 - only baseline characteristics were taken",gold,rsp,no,5542,510,bmi,overweight,normal >18.5-24,OR,0.99,0.8,1.22,yes,,,,,172,237,1112,1513
599,Mannino 2003,Mannino et. al. (2003a),https://dx.doi.org/10.1136/thorax.58.5.388,"NHANES I (1971-1975), follwed up till 1992 - only baseline characteristics were taken",gold,rsp,no,5542,510,bmi,underweight,normal >18.5-24,OR,1.67,1.3,2.14,yes,,,,,113,237,432,1513
599,Mannino 2003,Mannino et. al. (2003a),https://dx.doi.org/10.1136/thorax.58.5.388,"NHANES I (1971-1975), follwed up till 1992 - only baseline characteristics were taken",gold,rsp,no,5542,510,gender,female,male,OR,0.93,0.77,1.12,yes,,,,,291,221,1890,1332
599,Mannino 2003,Mannino et. al. (2003a),https://dx.doi.org/10.1136/thorax.58.5.388,"NHANES I (1971-1975), follwed up till 1992 - only baseline characteristics were taken",gold,rsp,no,5542,510,gender,male,female,OR,1.08,0.89,1.3,yes,,,,,221,291,1332,1890
599,Mannino 2003,Mannino et. al. (2003a),https://dx.doi.org/10.1136/thorax.58.5.388,"NHANES I (1971-1975), follwed up till 1992 - only baseline characteristics were taken",gold,rsp,no,5542,510,smoking,current,non,OR,1.72,1.4,2.11,yes,,,,,239,198,1043,1487
599,Mannino 2003,Mannino et. al. (2003a),https://dx.doi.org/10.1136/thorax.58.5.388,"NHANES I (1971-1975), follwed up till 1992 - only baseline characteristics were taken",gold,rsp,no,5542,510,smoking,ex,non,OR,0.85,0.64,1.12,yes,,,,,76,198,674,1487
601,Mannino 2003,Mannino et. al. (2003b),https://dx.doi.org/10.1111/j.1365-2796.2003.01211.x,NHANES III 1988-1994 (phase 2 - 1991-94),gold,rsp,no,7503,495,bmi,obese,normal >18.5-24,OR,2.15,1.71,2.71,yes,,,,,181,148,971,1710
601,Mannino 2003,Mannino et. al. (2003b),https://dx.doi.org/10.1111/j.1365-2796.2003.01211.x,NHANES III 1988-1994 (phase 2 - 1991-94),gold,rsp,no,7503,495,bmi,overweight,normal >18.5-24,OR,0.94,0.73,1.21,yes,,,,,121,148,1489,1710
601,Mannino 2003,Mannino et. al. (2003b),https://dx.doi.org/10.1111/j.1365-2796.2003.01211.x,NHANES III 1988-1994 (phase 2 - 1991-94),gold,rsp,no,7503,495,bmi,underweight,normal >18.5-24,OR,5.48,3.39,8.86,yes,,,,,28,148,59,1710
601,Mannino 2003,Mannino et. al. (2003b),https://dx.doi.org/10.1111/j.1365-2796.2003.01211.x,NHANES III 1988-1994 (phase 2 - 1991-94),gold,rsp,no,7503,495,comorbidity,cvd,no cvd,OR,2.08,1.38,3.13,yes,,,,,30,446,132,4088
601,Mannino 2003,Mannino et. al. (2003b),https://dx.doi.org/10.1111/j.1365-2796.2003.01211.x,NHANES III 1988-1994 (phase 2 - 1991-94),gold,rsp,no,7503,495,comorbidity,diabetes,no diabetes,OR,2.16,1.56,3.01,yes,,,,,48,433,206,4022
601,Mannino 2003,Mannino et. al. (2003b),https://dx.doi.org/10.1111/j.1365-2796.2003.01211.x,NHANES III 1988-1994 (phase 2 - 1991-94),gold,rsp,no,7503,495,gender,female,male,OR,1.29,1.07,1.56,yes,,,,,303,194,2325,1925
601,Mannino 2003,Mannino et. al. (2003b),https://dx.doi.org/10.1111/j.1365-2796.2003.01211.x,NHANES III 1988-1994 (phase 2 - 1991-94),gold,rsp,no,7503,495,gender,male,female,OR,0.77,0.64,0.94,yes,,,,,194,303,1925,2325
601,Mannino 2003,Mannino et. al. (2003b),https://dx.doi.org/10.1111/j.1365-2796.2003.01211.x,NHANES III 1988-1994 (phase 2 - 1991-94),gold,rsp,no,7503,495,smoking,current,non,OR,1.64,1.31,2.05,yes,,,,,129,293,714,2662
601,Mannino 2003,Mannino et. al. (2003b),https://dx.doi.org/10.1111/j.1365-2796.2003.01211.x,NHANES III 1988-1994 (phase 2 - 1991-94),gold,rsp,no,7503,495,smoking,ex,non,OR,0.78,0.6,1,yes,,,,,82,293,958,2662
603,Mannino 2012,Mannino et. al. (2012),,BOLD study,gold,prism,yes,9762,1382,age,50-59,40-49,OR,1.23,1.06,1.42,yes,,,,,485,518,1147,1506
603,Mannino 2012,Mannino et. al. (2012),,BOLD study,gold,prism,yes,9762,1382,age,60-69,40-49,OR,1.06,0.89,1.27,yes,,,,,259,518,708,1506
603,Mannino 2012,Mannino et. al. (2012),,BOLD study,gold,prism,yes,9762,1382,age,70-79,40-49,OR,1.08,0.85,1.39,yes,,,,,103,518,276,1506
603,Mannino 2012,Mannino et. al. (2012),,BOLD study,gold,prism,yes,9762,1382,bmi,obese,normal >18.5-24,OR,1.93,1.62,2.28,yes,,,,,436,340,726,1090
603,Mannino 2012,Mannino et. al. (2012),,BOLD study,gold,prism,yes,9762,1382,bmi,overweight,normal >18.5-24,OR,0.98,0.84,1.14,yes,,,,,553,340,1809,1090
603,Mannino 2012,Mannino et. al. (2012),,BOLD study,gold,prism,yes,9762,1382,bmi,underweight,normal >18.5-24,OR,3.46,2.19,5.47,yes,,,,,41,340,38,1090
603,Mannino 2012,Mannino et. al. (2012),,BOLD study,gold,prism,yes,9762,1382,gender,female,male,OR,1.43,1.26,1.62,yes,,,,,836,546,1920,1793
603,Mannino 2012,Mannino et. al. (2012),,BOLD study,gold,prism,yes,9762,1382,gender,male,female,OR,0.7,0.62,0.79,yes,,,,,546,836,1793,1920
603,Mannino 2012,Mannino et. al. (2012),,BOLD study,gold,prism,yes,9762,1382,smoking,current,non,OR,0.94,0.81,1.09,yes,,,,,346,590,1210,1936
603,Mannino 2012,Mannino et. al. (2012),,BOLD study,gold,prism,yes,9762,1382,smoking,ex,non,OR,2.58,2.21,3.01,yes,,,,,446,590,567,1936
636,Meghji 2016,Meghji et. al. (2016),https://dx.doi.org/10.1164/rccm.201509-1807OC,original,gold,rsp,yes,1057,756,bmi,obese,normal 18.5-24.5,,,,,,1.58,0.85,2.96,"age, sex, and variables correlated at p<0.2 in bivariate analysis",,,,
636,Meghji 2016,Meghji et. al. (2016),https://dx.doi.org/10.1164/rccm.201509-1807OC,original,gold,rsp,yes,1057,756,bmi,overweight,normal 18.5-24.5,OR,,,,,1.07,0.66,1.73,"age, sex, and variables correlated at p<0.2 in bivariate analysis",,,,
636,Meghji 2016,Meghji et. al. (2016),https://dx.doi.org/10.1164/rccm.201509-1807OC,original,gold,rsp,yes,1057,756,bmi,underweight,normal 18.5-24.5,OR,,,,,4.09,2.04,8.22,"age, sex, and variables correlated at p<0.2 in bivariate analysis",,,,
636,Meghji 2016,Meghji et. al. (2016),https://dx.doi.org/10.1164/rccm.201509-1807OC,original,gold,rsp,yes,1057,756,gender,female,male,OR,,,,,0.95,0.65,1.4,"age, sex, and variables correlated at p<0.2 in bivariate analysis",,,,
763,Perez-Padilla 2023,Perez-Padilla et. al. (2023),https://dx.doi.org/10.2147/COPD.S406208,PLATINO study,gold,prism,yes,2942,146,comorbidity,asthma,no asthma,OR,1.78,1.17,2.7,yes,,,,,31,115,298,1996
763,Perez-Padilla 2023,Perez-Padilla et. al. (2023),https://dx.doi.org/10.2147/COPD.S406208,PLATINO study,gold,prism,yes,2942,146,comorbidity,tuberculosis,no TB,OR,1.7,0.78,3.72,yes,,,,,7,139,69,2225
763,Perez-Padilla 2023,Perez-Padilla et. al. (2023),https://dx.doi.org/10.2147/COPD.S406208,PLATINO study,gold,prism,yes,2942,146,gender,female,male,OR,1.12,0.79,1.59,yes,,,,,93,53,1399,895
763,Perez-Padilla 2023,Perez-Padilla et. al. (2023),https://dx.doi.org/10.2147/COPD.S406208,PLATINO study,gold,prism,yes,2942,146,gender,male,female,OR,0.88,0.62,1.25,yes,,,,,53,93,895,1399
763,Perez-Padilla 2023,Perez-Padilla et. al. (2023),https://dx.doi.org/10.2147/COPD.S406208,PLATINO study,gold,prism,yes,2942,146,smoking,current,non-current,OR,1.32,0.93,1.87,yes,,,,,51,95,665,1629
916,Shiraishi 2022,Shiraishi et. al. (2022),https://dx.doi.org/10.1183/23120541.00063-2022,original,gold,prism,no,1818,173,gender,female,male,OR,0.76,0.55,1.06,yes,,,,,64,109,622,808
916,Shiraishi 2022,Shiraishi et. al. (2022),https://dx.doi.org/10.1183/23120541.00063-2022,original,gold,prism,no,1818,173,gender,male,female,OR,1.31,0.95,1.82,yes,,,,,109,64,808,622
916,Shiraishi 2022,Shiraishi et. al. (2022),https://dx.doi.org/10.1183/23120541.00063-2022,original,gold,prism,no,1818,173,smoking,current,non-current,OR,0.78,0.48,1.26,yes,,,,,57,30,366,150
921,Shu 2024,Shu et. al. (2024),https://dx.doi.org/10.1093/qjmed/hcae010,original,gold,prism,no,461183,65832,bmi,obese,normal >18.5-24,OR,2.25,2.17,2.33,yes,,,,,4741,35059,14091,234625
921,Shu 2024,Shu et. al. (2024),https://dx.doi.org/10.1093/qjmed/hcae010,original,gold,prism,no,461183,65832,bmi,overweight,normal >18.5-24,OR,1.73,1.7,1.76,yes,,,,,21566,35059,83491,234625
921,Shu 2024,Shu et. al. (2024),https://dx.doi.org/10.1093/qjmed/hcae010,original,gold,prism,no,461183,65832,bmi,underweight,normal >18.5-24,OR,1.11,1.07,1.15,yes,,,,,4408,35059,26582,234625
921,Shu 2024,Shu et. al. (2024),https://dx.doi.org/10.1093/qjmed/hcae010,original,gold,prism,no,461183,65832,comorbidity,diabetes,no diabetes,OR,2.91,2.83,3,yes,,,,,7556,58276,15302,343536
921,Shu 2024,Shu et. al. (2024),https://dx.doi.org/10.1093/qjmed/hcae010,original,gold,prism,no,461183,65832,comorbidity,hypertension,no hypertension,OR,2.8,2.75,2.85,yes,,,,,23793,42039,60310,298528
921,Shu 2024,Shu et. al. (2024),https://dx.doi.org/10.1093/qjmed/hcae010,original,gold,prism,no,461183,65832,gender,female,male,OR,1.26,1.24,1.28,yes,,,,,36955,28877,180633,178205
921,Shu 2024,Shu et. al. (2024),https://dx.doi.org/10.1093/qjmed/hcae010,original,gold,prism,no,461183,65832,gender,male,female,OR,0.79,0.78,0.81,yes,,,,,28877,36955,178205,180633
